2026-04-23 00:41:26 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 00:41:27 | INFO     | bot.client | Placing BUY MARKET order | symbol=BTCUSDT qty=0.001 price=MARKET stop=N/A
2026-04-23 00:41:27 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001, 'timestamp': 1776885087047, 'recvWindow': 5000}
2026-04-23 00:41:27 | DEBUG    | bot.client | Order response: {'orderId': 13062551171, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'OHwCnyILDVGgUGxh2Zp4iN', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776885086996}
2026-04-23 00:41:27 | INFO     | bot.orders | Order SUCCESS | orderId=13062551171 status=NEW executedQty=0.0000
2026-04-23 00:41:27 | INFO     | cli | Bot started | symbol=BTCUSDT side=SELL type=LIMIT qty=0.001 price=100000.0 stop=None
2026-04-23 00:41:27 | DEBUG    | bot.client | GET https://demo-fapi.binance.com/fapi/v1/ping params={}
2026-04-23 00:41:28 | INFO     | bot.client | Placing SELL LIMIT order | symbol=BTCUSDT qty=0.001 price=100000.0 stop=N/A
2026-04-23 00:41:28 | DEBUG    | bot.client | POST https://demo-fapi.binance.com/fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.001, 'price': 100000.0, 'timeInForce': 'GTC', 'timestamp': 1776885088131, 'recvWindow': 5000}
2026-04-23 00:41:28 | DEBUG    | bot.client | Order response: {'orderId': 13062551231, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'Fd8pW29ZfClwvDnYGDwOgW', 'price': '100000.00', 'avgPrice': '0.00', 'origQty': '0.0010', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'LIMIT', 'reduceOnly': False, 'closePosition': False, 'side': 'SELL', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'LIMIT', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776885088080}
2026-04-23 00:41:28 | INFO     | bot.orders | Order SUCCESS | orderId=13062551231 status=NEW executedQty=0.0000
